Year,Mon,Calls,Temp
,May,20002,55.1
,June,21591,59
,July,22696,63.8
,August,21509,63.8
,September,22123,59.1
,October,21449,54.6
,November,23475,45.4
,December,23529,41
1989,January,23327,40.3
,February,24050,34.3
,March,24010,43.2
,April,19735,52.5
,May,20153,55.3
,June,19512,62.4
,July,19892,62.9
,August,20326,63.5
,September,19378,60.9
,October,21263,51.9
,November,21443,46.2
,December,23366,41.8
1990,January,23836,41.8
,February,23336,38.9
,March,22003,46.3
,April,20155,51.7
,May,20070,54.9
,June,19588,59.8
,July,20804,66.7
,August,19644,66.4
,September,17424,61.9
,October,20833,50.4
,November,22490,45.8
,December,24861,33.9
1991,January,23441,37.9
,February,19205,46.9
,March,20386,43.4
,April,19988,49.1
,May,19077,54.3
,June,19141,58.2
,July,20883,65.4
,August,20709,66
,September,19647,60.9
,October,22013,51
,November,22375,46.2
,December,22727,42.4
1992,January,22367,43
,February,21155,46
,March,21209,48.9
,April,19286,52.7
,May,19725,58.3
,June,20276,63.6
,July,20795,64.9
,August,21126,65
,September,20251,58.4
,October,22069,53.2
,November,23268,44.8
,December,26039,37.8
